year,date,team,team_id,opponent,opponent_id,home_away,team_score,opponent_score,total_score,team_win,moneyline,implied_prob,over_under,cover_ou
2026,2026-02-19,Idaho,2026 Idaho,Portland St.,2026 Portland St.,Away,,,0,,,0,,
2026,2026-02-21,Idaho,2026 Idaho,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-02-26,Idaho,2026 Idaho,Northern Arizona,2026 Northern Arizona,Home,,,0,,,0,,
2026,2026-02-28,Idaho,2026 Idaho,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-03-02,Idaho,2026 Idaho,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
2026,2026-01-01,Montana,2026 Montana,Northern Arizona,2026 Northern Arizona,Home,,,0,,,0,,
2026,2026-01-03,Montana,2026 Montana,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-01-08,Montana,2026 Montana,Idaho,2026 Idaho,Away,,,0,,,0,,
2026,2026-01-10,Montana,2026 Montana,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
2026,2026-01-17,Montana,2026 Montana,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-01-19,Montana,2026 Montana,Northern Arizona,2026 Northern Arizona,Away,,,0,,,0,,
2026,2026-01-22,Montana,2026 Montana,Weber St.,2026 Weber St.,Home,,,0,,,0,,
2026,2026-01-24,Montana,2026 Montana,Idaho St.,2026 Idaho St.,Home,,,0,,,0,,
2026,2026-01-29,Montana,2026 Montana,Portland St.,2026 Portland St.,Away,,,0,,,0,,
2026,2026-01-31,Montana,2026 Montana,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-02-05,Montana,2026 Montana,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-02-07,Montana,2026 Montana,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-02-14,Montana,2026 Montana,Montana St.,2026 Montana St.,Home,,,0,,,0,,
2026,2026-02-19,Montana,2026 Montana,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-02-21,Montana,2026 Montana,Weber St.,2026 Weber St.,Away,,,0,,,0,,
2026,2026-02-26,Montana,2026 Montana,Sacramento St.,2026 Sacramento St.,Home,,,0,,,0,,
2026,2026-02-28,Montana,2026 Montana,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-03-02,Montana,2026 Montana,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-01-01,Montana St.,2026 Montana St.,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-01-03,Montana St.,2026 Montana St.,Northern Arizona,2026 Northern Arizona,Home,,,0,,,0,,
2026,2026-01-08,Montana St.,2026 Montana St.,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
2026,2026-01-10,Montana St.,2026 Montana St.,Idaho,2026 Idaho,Away,,,0,,,0,,
