game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20082410a,a,2410,2008,West,Second Round,12,2008 Western Kentucky,13,2008 San Diego,72,63,9,135,1
20082411a,a,2411,2008,West,Second Round,6,2008 Purdue,3,2008 Xavier,78,85,-7,163,0
20082412a,a,2412,2008,West,Second Round,7,2008 West Virginia,2,2008 Duke,73,67,6,140,1
20083113a,a,3113,2008,East,Sweet 16,1,2008 North Carolina,4,2008 Washington St.,68,47,21,115,1
20083113a,a,3113,2008,East,Sweet 16,3,2008 Louisville,2,2008 Tennessee,79,60,19,139,1
20083213a,a,3213,2008,Midwest,Sweet 16,1,2008 Kansas,12,2008 Villanova,72,57,15,129,1
20083214a,a,3214,2008,Midwest,Sweet 16,3,2008 Wisconsin,10,2008 Davidson,56,73,-17,129,0
20083313a,a,3313,2008,South,Sweet 16,1,2008 Memphis,5,2008 Michigan St.,92,74,18,166,1
20083314a,a,3314,2008,South,Sweet 16,3,2008 Stanford,2,2008 Texas,62,82,-20,144,0
20083413a,a,3413,2008,West,Sweet 16,1,2008 UCLA,12,2008 Western Kentucky,88,78,10,166,1
20083414a,a,3414,2008,West,Sweet 16,3,2008 Xavier,7,2008 West Virginia,79,75,4,154,1
20084115a,a,4115,2008,East,Elite Eight,1,2008 North Carolina,3,2008 Louisville,83,73,10,156,1
20084215a,a,4215,2008,Midwest,Elite Eight,1,2008 Kansas,10,2008 Davidson,59,57,2,116,1
20084315a,a,4315,2008,South,Elite Eight,1,2008 Memphis,2,2008 Texas,85,67,18,152,1
20084415a,a,4415,2008,West,Elite Eight,1,2008 UCLA,3,2008 Xavier,76,57,19,133,1
20085516a,a,5516,2008,Final Four,Final Four,1,2008 North Carolina,1,2008 Kansas,66,84,-18,150,0
20085517a,a,5517,2008,Final Four,Final Four,1,2008 Memphis,1,2008 UCLA,78,63,15,141,1
