year,region,round,high_bracket_team,low_bracket_team,high_bracket_seed,low_bracket_seed,win,5man_bpm,3man_bpm,wab,kenpom_rtg,torvik_rtg,5man_prpg,3man_prpg,5man_dprpg,3man_dprpg,size,height,experience,bench,raw_tempo,adj_tempo,3pr,3prd,off_dunk_share,off_close2_share,off_far2_share,off_3pt_share,def_dunk_share,def_close2_share,def_far2_share,def_3pt_share,5man_obpm,3man_obpm,kenpom_off,torvik_off,efg_pct,2p_pct,3p_pct,ft_pct,ftr,tor,orb_pct,ast_pct,blk_pct,off_dunk_fg_pct,off_close2_fg_pct,off_far2_fg_pct,off_3pt_fg_pct,5man_dbpm,3man_dbpm,kenpom_def,torvik_def,efgd_pct,2pd_pct,3pd_pct,ftd_pct,ftrd,tord,drb_pct,astd_pct,blked_pct,def_dunk_fg_pct,def_close2_fg_pct,def_far2_fg_pct,def_3pt_fg_pct,net_efg_margin,net_turnover_margin,net_rebounding_margin,net_ftr_margin,rim_efficiency,perimeter_efficiency,three_point_volume_efficiency,shot_quality_variance,rim_to_three_ratio,mid_range_reliance,paint_touch_rate,top5_scoring_concentration,top5_rebounding_concentration,top5_def_rebounding_concentration,bench_scoring_ratio,rotation_balance,tempo_advantage,effective_possession_rate,offensive_versatility_score,size_speed_index,assist_to_usage_ratio,free_throw_advantage,block_efficiency,experience_weighted_production,four_factors_composite,elite_outcome_probability,offense_defense_balance,shooting_variance_resilience,lineup_depth_quality,def_net_efg_margin,def_net_turnover_margin,def_net_rebounding_margin,def_net_ftr_margin,def_rim_efficiency,def_perimeter_efficiency,def_three_point_volume_efficiency,def_shot_quality_variance,def_rim_to_three_ratio,def_mid_range_reliance,def_paint_touch_rate,def_effective_possession_rate,defensive_versatility_score,def_size_speed_index,def_assist_suppression,def_free_throw_advantage,def_block_efficiency,def_experience_impact,def_four_factors_composite,def_lineup_depth_quality
2015,Final Four,Final Four,2015 Kentucky,2015 Wisconsin,1,1,0,0.1,-1.7,1.70038361,3.9082,0.009070794,-7.2,-4.8,3.6,3.8,0.11,1.84,-1.35,18.66,4.6,4.2,-45.2,-32,9,2.6,-3.8,1.3,-1,0.7,6,-6.8,2.9,6,27.9796,26.93877867,5.1,7.5,-1,4.1,22.7,0.3,16.7,15.9,12.5,-1.8,13.6,-1.2,-2.7,-10.2,-7.7,42.9783,42.87103643,14.9,16,8.3,11.3,4,9.4,-0.3,10.1,3.4,-0.4,17.5,11.7,9.5,-7.2,-132.7,-72.4,-67.9,22.8262,-20.9246,-6.6138,1.316390537,0.3621739632,-31.8,-16.4,0,0.01,0,18.66,2.640889238,4.2,34.4037,8.060047387,1.3805,-4.058096519,967.73,-10.03182221,-22.588,14.2,0,-1.444487504,-3.522073709,3.1,7.2,132.7,72.4,67.9,-10.4502,22.0749,8.6505,4.326638283,0.225653233,15.2,21.5,-34.6842,-2.851927676,1.3805,3.049582506,-967.73,5.021519703,-51.591,-9.31,2.5
2015,Final Four,Final Four,2015 Michigan St.,2015 Duke,7,1,0,-3.1,-2.1,-7.583436736,-8.3861,-0.044039309,-2.8,-1.1,1.6,2.5,-1.35,-3.9,0.79,6.32,-3.4,-2.7,-37.6,-30.2,3.9,-5.1,-2,7.2,-4.9,-8,7.5,0.5,10.2,10.2,21.0277,21.7095674,6.4,4.5,6.6,-6.3,7,0.8,4.5,17,4.8,-8.1,9.1,1.4,7.2,-13.3,-12.2,29.201,32.03883641,11.2,12.2,6.3,-2.6,2.5,0.2,-11.4,3.7,1.6,13.3,13,3.1,7.2,3.8,-129.6,-71.9,-65.3,13.9102,-17.2052,-5.5608,-5.014002037,-0.3398765215,-20.4,-18.6,0,0,0.02,6.32,0.5766054926,-2.7,34.3336,1.087486329,-2.58144,-2.340558097,750.96,-10.14858526,28.824,10.75,-2,-0.7769299593,2.065712141,-8.88E-16,-3.8,129.6,71.9,65.3,-21.8106,24.4335,10.363,-4.33476552,-0.4023773865,9.5,13.9,-38.1098,-7.718014502,-2.58144,2.098550181,-750.96,6.925034777,-3.907,-16.555,1.1
2015,Final Four,Championship,2015 Wisconsin,2015 Duke,1,1,0,6.7,8,0.70122952,4.2177,0.008011932,5.2,4.3,-1.5,1.2,1.62,2.03,1.02,-4.21,-7.3,-7.5,-35.3,-38.8,1,-2.9,-6.6,9.5,-4.4,-9.1,16.8,-7.7,20.1,18.7,31.8697,33.2913002,7.2,8,3.7,6.7,10.7,6.3,1.8,2.6,0.8,-8.5,9.1,6.2,5.1,-7.9,-10.6,30.9626,32.49452517,10.2,12.3,2.6,1,19.1,-0.1,-13.7,13.5,3,1.1,12.4,-1,1,5.6,-135.4,-76.9,-78.2,12.8057,-17.3175,-5.4563,-5.888308791,-0.4292861236,-15.8,-19.3,-0.01,-1.42E-14,0.01,-4.21,-2.872268319,-7.5,37.9934,2.713330112,0.97729,-2.516228151,694.15,-10.19321125,54.66,12.46,-2,0.05666660001,3.015810254,-1.4,-5.6,135.4,76.9,78.2,-22.9376,21.8492,3.1444,-1.340051575,-0.08126784989,18.8,14.5,-38.4397,-8.150724434,0.97729,4.115213963,-694.15,10.12998871,10.292,-15,-2.7
2016,Final Four,Final Four,2016 Villanova,2016 Oklahoma,2,2,1,2.9,3,1.079202487,1.8981,0.020682032,-2.8,-0.2,-0.6,-0.2,0.31,-0.87,-0.45,7.4,-3.6,-3.8,-21.2,-21.8,4.7,-4.9,-2.2,7.2,-4.5,-2,5.4,-3.2,14.2,7.3,25.8633,26.11271361,7.9,12.4,0.4,9.9,7,1.2,-1.2,18.9,0.5,13.7,15.9,8.3,2.4,-3,-4.3,25.733,27.21206209,8.2,4.2,9.1,6.5,2.2,2.4,-1.8,-4.7,5.9,-5.8,5.3,-0.7,8.4,1.5,-127.6,-82.4,-73.4,13.4307,-15.9467,-8.152,4.631327687,-0.1955691925,-4.8,-19.4,1.42E-14,-0.01,-0.01,7.4,3.128812691,-3.8,35.9612,-2.810378355,-0.62807,-2.470600479,458.43,-7.044967246,20.142,10.78,-1,0.004651776469,-1.554111981,-6.9,-1.5,127.6,82.4,73.4,-13.1988,20.7908,7.6496,3.786811498,-0.0882094034,8.6,25.3,-33.7352,-6.662213114,-0.62807,1.965158019,-458.43,9.467390683,-14.355,-10.83,-1.3
2016,Final Four,Final Four,2016 North Carolina,2016 Syracuse,1,10,1,17.8,9.9,8.828026472,12.1878,0.081622905,-2.2,-1.5,-3.7,-1.3,-0.8,2.77,0.14,17.94,5.5,6.6,-33,-21.2,-0.2,1.1,11.6,-12.8,-5.4,-4.5,11.1,-6.4,16.9,9.1,25.632,25.50790425,4.6,5.2,1,7.1,2.8,5.2,4.5,-7.2,2.8,4.5,7.4,9,1.8,5.9,0.9,18.2561,16.53735041,3,3.9,0.1,-1.6,5.8,0.3,-3.1,13,5.4,1.9,3,-4.8,-0.2,-2.6,-127.1,-62,-73.2,17.0713,-21.3588,-18.7696,0.0002515455957,0.540423911,-13.2,-14.5,1.42E-14,0.01,0.01,17.94,0.2124059057,6.6,33.2616,4.070020691,2.04561,-1.155550134,334,-7.567575221,32.567,10.98,2,0.6751977942,0.7076997318,-7.8,2.6,127.1,62,73.2,-15.7992,23.9127,7.6206,-2.469454451,-0.09761492609,11.5,25.5,-31.3932,-1.194710971,2.04561,2.786459682,-334,8.143550882,12.623,-10.295,-5
2016,Final Four,Championship,2016 Villanova,2016 North Carolina,2,1,1,-2.5,-0.6,0.421590019,-1.2908,0.017168362,-1.2,-0.1,-1.1,-0.9,-0.43,-3.17,-0.14,-2.38,-3,-5,-20.6,-35.8,5,2.9,-10,7.1,-4,-5.1,-5.4,10.6,5.3,6.3,25.1981,24.63504011,6.9,12.7,-1.6,7.8,4.6,2.2,-1.3,15,3.2,9.9,12.5,7.6,-0.1,-8.7,-7,29.587,29.73537939,5.8,10,-2.1,7.5,0.8,5,-11.1,1.2,4.5,4.5,11.7,7.9,-1.3,0.1,-129.2,-73,-72.4,18.1562,-20.03,-7.3258,3.532731471,0.03449382981,-12.6,-27.5,0.01,-0.01,-1.42E-14,-2.38,0.9832855674,-5,35.6112,-3.416026115,-2.30441,-2.763191847,613.62,-8.169527969,6.529,11.27,-3,-0.4237208899,1.288276527,1,-0.1,129.2,73,72.4,-17.7519,22.5729,16.0825,-1.355823349,-0.6965791719,19.4,22.7,-33.1218,-3.54912011,-2.30441,1.884835397,-613.62,9.486402661,-18.545,-12.17,1.7
2017,Final Four,Final Four,2017 South Carolina,2017 Gonzaga,7,1,0,-7.1,-0.7,-6.131713709,-16.0236,-0.089818424,-8.5,-3.1,-5.6,-3.2,-1.4,-2.35,-0.27,0.99,-1.4,-2.2,-34.5,-33.5,2,-0.2,-1.1,1.3,-0.4,-2.7,0.9,1.9,-6.7,1.1,17.8889,17.22102156,5.1,5,3.4,3.5,13.9,-1.3,8.4,8.4,3.9,-5.9,11.9,0.2,4.4,-4.2,-1.9,32.1947,31.47074012,13,13.1,8.6,2.7,-8.5,8.6,1.7,8,1.5,9.9,11.4,9,7.5,-8.7,-122.9,-79.3,-49.2,6.5771,-24.691,-11.7387,-3.379558514,0.01287749507,-22.1,-30.4,-0.04,-0.07,-0.05,0.99,-4.020356237,-2.2,27.4902,8.229662553,-1.70556,-2.911507922,1513.06,-8.602072524,-15.393,7.71,-1,-1.27746757,-3.587341095,7.8,8.7,122.9,79.3,49.2,-13.4832,18.4131,11.6163,-1.031785294,-0.1586070312,13.7,19.3,-35.303,-0.5454292034,-1.70556,2.263562767,-1513.06,8.450547109,-11.628,-13.495,2.3
2017,Final Four,Final Four,2017 Oregon,2017 North Carolina,3,1,0,-5.7,-0.9,-2.311774332,-4.1815,-0.032566249,-2.2,-1.3,-0.4,1.2,-0.51,-0.4,-0.13,-7.78,-3.3,-4.2,-21.5,-32.8,5.3,12.3,-12.1,-0.3,-0.5,2.2,-9.5,7.3,4.9,7.4,23.6626,22.87060417,7.1,8.1,3.7,-1.4,3,1.7,6.9,11.2,7.6,4.2,3.1,3.3,4,-7,-8.2,28.1748,27.26142794,6.2,5.3,5.6,-0.8,6.5,3.7,-12.2,10.4,-0.9,9.3,12.3,0.5,4.2,2.5,-127.8,-71.1,-74.5,23.5794,-24.7769,-11.118,0.1982744137,0.4576119061,-5.5,-17.6,0.03,0.06,0.06,-7.78,-0.3037598785,-4.2,36.5175,3.6948239,-0.33952,-2.488411401,756.11,-9.791332925,6.863,13.965,1,-0.427646954,1.045954082,2.5,-2.5,127.8,71.1,74.5,-10.0648,18.2567,15.0747,-3.634221437,-0.2181232789,10.5,16.1,-32.8889,-6.151451717,-0.33952,2.297653237,-756.11,4.989997782,-15.554,-11.63,-1.2
2017,Final Four,Championship,2017 Gonzaga,2017 North Carolina,1,1,0,0,2.2,-0.515814534,5.0447,0.018875237,-3.2,-0.9,-2.1,0.3,0.57,1.62,-0.08,-4.64,-1.2,-0.9,-28,-38.2,0.9,8.6,-2.4,-6.4,-3.7,-3.5,1.6,1.9,4.5,7.2,26.6456,26.68459287,9.5,11.7,4,1.8,6.8,2.8,4.8,5.6,0.6,2.5,6,9.6,4.1,-5.5,-5,34.4179,32.99047156,10.7,11.1,6.7,4.9,7.1,1.3,-16.6,16.1,2.3,1.5,16.3,4.4,6.6,0.4,-131.3,-77.6,-71.3,18.0859,-21.3687,-13.4031,-1.82428783,0.4491110186,-15.2,-25.7,0.04,0.07,0.07,-4.64,0.2826073632,-0.9,39.1475,3.014835527,1.14912,-2.577768405,707.73,-9.873096549,7.091,15.35,1,-0.7787348704,3.41472488,2.7,-0.4,131.3,77.6,71.3,-12.265,23.7845,12.1377,1.451522866,-0.3036285416,21.6,25,-33.386,-8.603156489,1.14912,2.865270791,-707.73,8.618701205,-11.969,-11.22,0.5
2018,Final Four,Final Four,2018 Loyola Chicago,2018 Michigan,11,3,0,-6.3,-3.6,-4.891624119,-8.0507,-0.121926609,-6.4,-2.4,-2.9,-0.4,-1.3,-3.04,0.17,4.12,0.5,0.8,-34.1,-20.5,-4.2,9.1,-14.1,5,-4.7,-3.7,9.9,-6.3,-3.4,1.5,18.6215,16.55776178,9.4,9.5,5.7,1.2,3,0.6,-2.3,14.3,-3.1,-14.7,4.4,6.8,6.7,-2.2,-5,19.7089,17.51198528,7.1,8,3.8,-4.3,4.6,6.1,-0.1,3.7,-1,1,5.1,2.6,3.2,7.9,-127.9,-101.6,-80.6,14.6394,-20.7132,-6.2213,-9.275225605,-0.05097444444,-5.7,-13.9,0,0.03,0.01,4.12,0.3074186497,0.8,36.9232,-1.496895509,-2.00816,-3.206865443,165.45,-10.91157602,-3.604,11.98,1,-0.07783986991,9.505406564,4.9,-7.9,127.9,101.6,80.6,-18.4574,23.2149,9.8528,0.6755261646,-0.05031548203,-0.1,18.8,-36.2984,-1.194050695,-2.00816,1.927592719,-165.45,13.25996882,-1.709,-10.625,-2.8
