year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,win,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo
2021,East,Sweet 16,5,2021 Missouri St.,1,2021 Stanford,0,-8.3,-0.0461,-26.6,-2,-16.7,2.4,-58.5,57.7,-37.7,42,-47.5,51.6,-17.3,3.6,-44,33.5,-37.1,28.4,-0.5
2021,East,Elite Eight,2,2021 Louisville,1,2021 Stanford,0,-5,-0.0141,-13.3,-3.8,-10,5.3,-60.5,59.3,-39.9,31,-52.9,49.9,-11,6.2,-38.9,35.7,-31.8,35,-0.6
2021,Final Four,Final Four,1,2021 South Carolina,1,2021 Stanford,0,-2.3,-0.0051,-17.2,4.5,-15.5,7.1,-58.1,61.5,-31.2,36.1,-41.9,57.4,-17.3,8.4,-40.4,36.1,-45.2,40.4,1.5
2021,Final Four,Championship,3,2021 Arizona,1,2021 Stanford,0,-6.8,-0.011,-23.9,5,-17.2,5.2,-59,55.5,-44.6,32.9,-48.4,52.2,-19.2,9.1,-42.2,31.1,-35.1,33.9,-0.4
2022,South,Sweet 16,5,2022 North Carolina,1,2022 South Carolina,0,-9.6,-0.0077,-26.4,15,-18.5,12.8,-62.2,52.3,-38.4,28.5,-49.7,48.2,-20.3,12.6,-41.8,42.1,-48.8,37.8,5.4
2022,South,Elite Eight,10,2022 Creighton,1,2022 South Carolina,0,-14.7,-0.0549,-20.2,-1.7,-9.7,5.9,-61.9,57.3,-43.6,28.6,-60.1,44.8,-11.9,7.8,-36.2,34.2,-31,46.6,0
2022,Final Four,Championship,2,2022 Connecticut,1,2022 South Carolina,0,-8.4,-0.0056,-19,11.5,-9.1,12.5,-60,55,-40.8,27.7,-58.1,50.3,-8.6,13.7,-38.9,40,-42.6,40.1,1
2022,Final Four,Final Four,1,2022 Louisville,1,2022 South Carolina,0,-6.2,-0.0064,-17.9,10.1,-13.2,11.6,-59.7,50.8,-37.6,26,-58.6,38.9,-16,12.8,-36.4,39.2,-49.6,44.1,1.1
2023,South,Sweet 16,4,2023 UCLA,1,2023 South Carolina,0,-8.6,-0.03,-19.4,-6.6,-20.6,6.5,-60.9,59.6,-37.2,23.3,-51.1,32,-22.4,7.9,-43.9,35.9,-39.3,50.2,0.5
2023,South,Elite Eight,2,2023 Maryland,1,2023 South Carolina,0,-6.8,-0.0199,-15.9,-6.3,-15.9,2.2,-62.2,55.9,-44.1,18.3,-48.3,40.9,-18.9,3.2,-38.7,34.9,-44.5,40.9,4.7
2023,Final Four,Final Four,2,2023 Iowa,1,2023 South Carolina,1,-6.3,-0.0115,-6.4,-9.3,-7.2,4,-61.4,63.2,-48.4,27.6,-44,39.2,-7,2.6,-37.3,38.7,-35.3,41.4,5.7
2024,South,Sweet 16,4,2024 Indiana,1,2024 South Carolina,0,-7.6,-0.0147,-9.8,-4.9,-5.7,0.4,-59.6,62.2,-45.7,34.9,-50,46.4,-8.5,2.9,-33.1,28.9,-33.2,47.1,-3.2
2024,South,Elite Eight,3,2024 Oregon St.,1,2024 South Carolina,0,-6.9,-0.0168,-14.4,-2.5,-11,5.6,-59.2,68.4,-42.2,34.9,-53.1,52.6,-13.2,8.1,-37.4,32.2,-31.5,47.2,-5.3
2024,Final Four,Final Four,3,2024 North Carolina St.,1,2024 South Carolina,0,-6.3,-0.0105,-15.7,1.2,-16.3,5,-60.9,63.5,-40.6,34.9,-48.6,55.7,-18.3,8.4,-41,31,-39.4,41.6,-1.9
2024,Final Four,Championship,1,2024 Iowa,1,2024 South Carolina,0,-3.5,-0.0058,1.3,-7.2,-5,-0.6,-60.6,62.9,-39.6,34.1,-48.6,48.6,-5.3,1.3,-35.1,29.2,-24,37.3,3.2
2025,South,Sweet 16,5,2025 Mississippi,1,2025 UCLA,0,-9.9,-0.0086,-10.1,-0.1,-12.1,0.5,-60.2,49.1,-31.7,31.5,-45.3,42.6,-13.1,-1.1,-40.6,35.9,-42,41.1,-0.5
2025,South,Elite Eight,3,2025 LSU,1,2025 UCLA,0,-5.3,-0.0067,-8.5,-0.1,-10.3,4.3,-60.2,55.4,-30.5,30.1,-46,46.2,-12.4,1.8,-36.7,39.3,-47.5,29,4.7
2025,Final Four,Final Four,2,2025 Connecticut,1,2025 UCLA,1,-3.5,0.0032,5.6,8,-1.7,5.9,-63.7,51.2,-41.7,33.9,-58.5,56,-3.1,6,-32.5,37.8,-32.3,26.2,-0.1
2021,West,Sweet 16,5,2021 Georgia Tech,1,2021 South Carolina,0,-7.2,-0.0393,-19.8,5.2,-13.3,7.9,-61.3,61,-42.9,29.2,-53.7,43.7,-13.7,10.5,-41.2,33.1,-45.5,54.5,-5.9
