year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,win,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo
2021,East,Sweet 16,6,2021 Oregon,2,2021 Louisville,0,-3.7,0.0008,-3.3,3.4,-7.9,4.1,-60.5,61.5,-34.3,37,-50.7,52.8,-9,6.1,-37.1,33.5,-37.8,34.2,-0.9
2021,East,Sweet 16,1,2021 Stanford,5,2021 Missouri St.,1,8.3,0.0461,2,26.6,-2.4,16.7,-57.7,58.5,-42,37.7,-51.6,47.5,-3.6,17.3,-33.5,44,-28.4,37.1,0.5
2022,Final Four,Championship,1,2022 South Carolina,2,2022 Connecticut,1,8.4,0.0056,-11.5,19,-12.5,9.1,-55,60,-27.7,40.8,-50.3,58.1,-13.7,8.6,-40,38.9,-40.1,42.6,-1
2022,East,Sweet 16,3,2022 Indiana,2,2022 Connecticut,0,-0.9,-0.0168,-18.9,9.5,-10.7,1.1,-58.1,57.9,-45.6,39.7,-50.8,56.4,-12.1,-0.5,-38.5,36.1,-39.2,39.4,1.1
2022,Final Four,Final Four,1,2022 Stanford,2,2022 Connecticut,0,7.2,0.0013,-9.2,11.6,-9,5.3,-57.6,56.9,-35.3,38,-55.4,52.4,-11.4,7.3,-36.2,33.1,-31.5,36.5,1.2
2022,East,Elite Eight,1,2022 North Carolina St.,2,2022 Connecticut,0,6,0.002,-6.6,10.6,-7.4,4.7,-58.8,58.5,-38.6,41,-59.3,60.5,-10,4,-34.7,37.6,-32.6,31.3,0.2
2022,South,Sweet 16,1,2022 South Carolina,5,2022 North Carolina,1,9.6,0.0077,-15,26.4,-12.8,18.5,-52.3,62.2,-28.5,38.4,-48.2,49.7,-12.6,20.3,-42.1,41.8,-37.8,48.8,-5.4
2022,South,Elite Eight,1,2022 South Carolina,10,2022 Creighton,1,14.7,0.0549,1.7,20.2,-5.9,9.7,-57.3,61.9,-28.6,43.6,-44.8,60.1,-7.8,11.9,-34.2,36.2,-46.6,31,0
2022,South,Sweet 16,3,2022 Iowa St.,10,2022 Creighton,0,7.8,0.0352,5,3.8,-0.9,1.8,-60.7,63.7,-43.8,43.7,-49.8,62.3,-7.6,3.7,-26.9,32.6,-27.1,22.1,1
2021,West,Sweet 16,1,2021 South Carolina,5,2021 Georgia Tech,1,7.2,0.0393,-5.2,19.8,-7.9,13.3,-61,61.3,-29.2,42.9,-43.7,53.7,-10.5,13.7,-33.1,41.2,-54.5,45.5,5.9
2021,West,Elite Eight,1,2021 South Carolina,6,2021 Texas,1,6.5,0.0264,-9,21.7,-5.7,15.6,-53.2,60.3,-28.1,37.8,-34.3,49,-7,17,-34.1,40.9,-54.5,50.6,2.9
2021,West,Sweet 16,2,2021 Maryland,6,2021 Texas,0,6.6,0.0262,8,10.5,2.5,8.6,-56.3,58.3,-29.9,31.2,-38,45.9,-0.4,11.6,-27,34.3,-43.7,41.5,3.8
2022,Midwest,Elite Eight,1,2022 Louisville,3,2022 Michigan,1,3.1,0.014,-7.3,15.2,-4.8,9.5,-56.6,49.5,-36.5,32.2,-55.1,36.2,-7.9,10.1,-31.6,38.9,-39.5,43,-0.4
2022,Midwest,Sweet 16,10,2022 South Dakota,3,2022 Michigan,0,-4.1,-0.0253,-18.1,11.4,-6.3,8.5,-61.3,49.8,-44,33.1,-51.8,39.4,-7.9,8.5,-35.4,39.4,-34.7,37.1,-3
2022,Midwest,Sweet 16,1,2022 Louisville,4,2022 Tennessee,1,1.6,0.0223,-10.2,22,-10.2,13.9,-60.6,48.7,-35.4,30.1,-56.4,39.3,-13.2,15.3,-35.7,40.4,-36.2,45.9,-3.9
2023,East,Sweet 16,2,2023 Iowa,6,2023 Colorado,1,3.6,0.018,2.1,8.8,1.2,6,-57,59.6,-44.3,41.8,-41,43.9,1.3,6.7,-32.4,35.8,-27.2,34.7,6.1
2021,South,Sweet 16,3,2021 Arizona,2,2021 Texas A&M,1,-3.3,0.0145,-14.4,18.6,-10.9,6.9,-58.4,53.3,-43.7,39.4,-52.5,37.4,-14.5,11.5,-35.9,29.4,-34.8,48.5,-0.1
2021,South,Elite Eight,3,2021 Arizona,4,2021 Indiana,1,0,0.004,-18,18.9,-12.4,9.2,-59.9,58.1,-46,42.2,-49.2,41.6,-14.9,10.3,-37.5,38.5,-43.4,45.4,-1
2021,South,Sweet 16,1,2021 North Carolina St.,4,2021 Indiana,0,2.6,0.0049,-9.1,13.3,-5.7,8.8,-60.5,66,-44.1,45.8,-49.5,50.1,-7.8,9.1,-33.5,40.2,-41.7,39,-1.1
2023,Midwest,Sweet 16,3,2023 LSU,2,2023 Utah,1,-0.2,0.0111,5.3,0,-2.9,4.3,-58.4,56.7,-26.4,40.9,-33.2,40.9,-5.2,3.1,-31,37.5,-48.1,27,-0.7
2023,Final Four,Championship,3,2023 LSU,2,2023 Iowa,1,-0.4,0.0052,2.9,-0.6,-3.1,1.8,-61.8,57.3,-30.1,46.8,-35.6,41.6,-3.3,0.6,-34.3,35.9,-39.8,28.1,-1.4
2023,East,Sweet 16,6,2023 Colorado,2,2023 Iowa,0,-3.6,-0.018,-8.8,-2.1,-6,-1.2,-59.6,57,-41.8,44.3,-43.9,41,-6.7,-1.3,-35.8,32.4,-34.7,27.2,-6.1
2023,Final Four,Final Four,1,2023 South Carolina,2,2023 Iowa,0,6.3,0.0115,9.3,6.4,-4,7.2,-63.2,61.4,-27.6,48.4,-39.2,44,-2.6,7,-38.7,37.3,-41.4,35.3,-5.7
2023,East,Elite Eight,5,2023 Louisville,2,2023 Iowa,0,-4.3,-0.017,-4.5,-5.1,-5.1,-3,-59.9,56.9,-40.5,43.5,-45.9,36.6,-5.5,-2.2,-35.6,29.6,-36.5,30.8,-4.7
2023,Midwest,Elite Eight,3,2023 LSU,9,2023 Miami FL,1,8.22,0.0628,3.2,16.4,-1.9,12,-56.6,53.5,-26.3,37.8,-35.1,45.5,-3,11.6,-32.4,42.1,-44.2,37.7,3
2023,Midwest,Sweet 16,4,2023 Villanova,9,2023 Miami FL,0,7.12,0.0518,0.6,11.9,-3.7,10,-61,55.6,-40.8,32.2,-48.9,42.4,-4.3,12.4,-35,35.3,-33.1,44.7,-3.8
2025,Midwest,Elite Eight,1,2025 South Carolina,2,2025 Duke,1,6.2,0.0041,-5.2,17.3,-6.3,11.3,-53.7,55.7,-32.2,29.2,-46.4,55,-7,13.6,-36.3,37,-46.9,43.2,1.2
2025,Midwest,Sweet 16,3,2025 North Carolina,2,2025 Duke,0,-1.9,-0.011,-22.2,14.1,-9.3,10,-52.6,55.2,-39.7,31.6,-48.8,51.2,-11.2,12.1,-36.8,37,-38,37.8,-0.3
2025,Final Four,Championship,1,2025 South Carolina,2,2025 Connecticut,0,5.6,-0.0011,-6.3,-1.7,-8.6,2.4,-55.4,61.4,-35.7,38.4,-55.7,60.7,-10.4,3.7,-37.3,32.6,-34.1,35.8,0.6
2025,West,Sweet 16,3,2025 Oklahoma,2,2025 Connecticut,0,-2.8,-0.0097,-16.7,-6.2,-7.9,-0.1,-49.5,64.4,-36.9,44.5,-54.2,55.6,-7.5,0.5,-39.2,32.5,-21.6,30.1,9.8
2025,West,Elite Eight,1,2025 USC,2,2025 Connecticut,0,2.3,-0.0029,-14.2,-1.1,-10.5,2,-53.1,59,-37.4,41.8,-49.8,53.9,-11.9,3.3,-39.2,32.5,-28.4,35,5.2
2025,Final Four,Final Four,1,2025 UCLA,2,2025 Connecticut,0,3.5,-0.0032,-8,-5.6,-5.9,1.7,-51.2,63.7,-33.9,41.7,-56,58.5,-6,3.1,-37.8,32.5,-26.2,32.3,0.1
2025,Midwest,Sweet 16,1,2025 South Carolina,4,2025 Maryland,1,9,0.02,9.4,8.9,-1.9,8.9,-61.2,54.9,-32.3,31,-45.8,43.1,-2.6,11.6,-33.7,34.7,-40.4,43.4,-2.8
2025,East,Elite Eight,1,2025 Texas,2,2025 TCU,1,3.7,0.0046,-1.8,5.5,-10.4,2.5,-62.3,52.5,-32.1,37.4,-42.6,43.2,-12.3,3.5,-37.5,33.9,-57.6,32.4,2.8
2025,East,Sweet 16,3,2025 Notre Dame,2,2025 TCU,0,-0.1,0.0046,-0.7,4.8,-5,3.8,-61.5,57.3,-39.1,39.1,-51.6,52.8,-9.2,4.7,-28.8,35,-45.9,26.9,8.1
2025,East,Sweet 16,1,2025 Texas,5,2025 Tennessee,1,8.7,0.0123,-1.4,12,-3.6,7.3,-53.4,52.8,-26.3,31.8,-36.3,46.4,-1.2,6.2,-40.7,39.1,-55.5,32.7,-7.8
2024,South,Elite Eight,1,2024 South Carolina,3,2024 Oregon St.,1,6.9,0.0168,2.5,14.4,-5.6,11,-68.4,59.2,-34.9,42.2,-52.6,53.1,-8.1,13.2,-32.2,37.4,-47.2,31.5,5.3
2024,South,Sweet 16,2,2024 Notre Dame,3,2024 Oregon St.,0,0.7,0.0072,-9.6,12.2,-10.3,5.2,-67.1,55.4,-39.9,41.6,-52.7,52.2,-12.1,5.3,-36.9,36.6,-46.8,31.8,5.8
